Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0,P25,P50,P75,P100,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,102.0000,504.0000,102.0000,504.0000,281.9200,89.0058,102.0000,204.0000,303.0000,305.2500,504.0000,,,0.0374
1,102.0000,506.0000,102.0000,506.0000,273.8900,99.4956,102.0000,204.0000,303.0000,305.0000,506.0000,8.0300,49469.5728,0.0162
2,4.0000,506.0000,4.0000,506.0000,245.8200,104.3784,4.0000,202.7500,206.0000,304.0000,506.0000,28.0700,467755.3741,0.0060
3,4.0000,405.0000,4.0000,506.0000,239.7500,98.6912,4.0000,202.7500,205.0000,305.0000,405.0000,6.0700,151443.3273,0.0040
4,4.0000,407.0000,4.0000,506.0000,242.7500,101.2326,4.0000,203.0000,205.0000,305.0000,407.0000,-3.0000,-74981.2547,0.0040
5,4.0000,507.0000,4.0000,507.0000,252.6500,99.8444,4.0000,203.0000,206.0000,304.0000,507.0000,-9.9000,-247642.3944,0.0040
6,4.0000,503.0000,4.0000,507.0000,249.7500,99.5224,4.0000,203.0000,302.0000,305.0000,503.0000,2.9000,96673.1115,0.0040
7,4.0000,502.0000,4.0000,507.0000,241.7300,98.0134,4.0000,203.0000,206.5000,304.0000,502.0000,8.0200,267208.6360,0.0020
8,4.0000,406.0000,4.0000,507.0000,235.5200,107.0442,4.0000,104.7500,206.0000,304.0000,406.0000,6.2100,181504.6472,0.0034
9,1.0000,405.0000,1.0000,507.0000,231.6700,107.9912,1.0000,178.0000,205.5000,304.0000,405.0000,3.8500,128337.6113,0.0030
10,1.0000,503.0000,1.0000,507.0000,236.4300,118.3901,1.0000,201.7500,205.0000,304.2500,503.0000,-4.7600,-238083.3292,0.0020
11,1.0000,504.0000,1.0000,507.0000,241.4100,123.0297,1.0000,202.7500,253.0000,304.0000,504.0000,-4.9800,-165983.4017,0.0030
12,1.0000,502.0000,1.0000,507.0000,216.4800,122.0340,1.0000,104.0000,205.0000,303.2500,502.0000,24.9300,1246250.7499,0.0020
13,0.0000,504.0000,0.0000,507.0000,214.4300,126.4876,0.0000,104.0000,204.0000,304.0000,504.0000,2.0500,102500.0000,0.0020
14,0.0000,502.0000,0.0000,507.0000,208.3900,122.7712,0.0000,103.7500,204.0000,303.0000,502.0000,6.0400,301171.7776,0.0020
15,0.0000,503.0000,0.0000,507.0000,218.3000,128.2783,0.0000,177.0000,204.0000,304.0000,503.0000,-9.9100,-495277.1253,0.0020
